id,id_alt,country,continent,geo_group,culture,epoch,group,comment,latitude,longitude,sex,site,site_detail,mt_hg,ychr_hg,ychr_snps,year_from,year_to,date_detail,bp,c14_lab_code,reference_name,reference_link,data_link,c14_sample_tag,c14_layer_tag,full_mt_tag,trusted_tag,avg_coverage,amtdb_version
I1525,none,Russia,Europe,"Uelen Chukotka, Bering Strait",Russia_Uelen_OldBeringSea,none,none,none,66.161126,-169.822297,F,Russia_Uelen_OldBeringSea,none,A2a,n/a (female),none,60 calCE,450 calCE,"60-450 calCE (2560±20 BP, PSUAMS-1962)",2560±20 BP,PSUAMS-1962,Flegontov Nature 2019,https://doi.org/10.1038/s41586-019-1251-y,https://www.ebi.ac.uk/ena/browser/view/PRJEB30575,none,none,none,none,3.455726,v1.010
I8435,none,Turkey,Asia,"Boncuklu Tarla (Southeast, Mardin, Dargeçit, Ilısu)",Turkey_PPNA_lc,none,none,none,37.52,41.84,F,Turkey_PPNA_lc,none,n/a (<2x),n/a (female),none,9000 BCE,8500 BCE,9000-8500 BCE,none,none,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.004,v1.010
I13835,none,Albania,Europe,"Barç (Southeast, Korça Basin) ",Albania_EarlyModern_oCaucasus,Modern Era,none,none,40.625278,20.801111,F,Albania_EarlyModern_oCaucasus,none,U3b1,n/a (female),none,1644 calCE,1797 calCE,"1644-1797 calCE (235±15 BP, PSUAMS-8291)",235±15 BP,PSUAMS-8291,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,10.378,v1.010
I7090,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP,none,C1c,..,none,5462 calBCE,5014 calBCE,"5462-5014 calBCE (6300±70 BP, AA-7966)",6300±70 BP,AA-7966,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.204794,v1.010
I1748,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7200BP_1d.or.2d.rel.I7090,none,C1c,..,none,5462 calBCE,5014 calBCE,"5462-5014 calBCE (6300±70 BP, AA-7966)",6300±70 BP,AA-7966,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.023,v1.010
I7088,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7400BP_contam,none,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7400BP_contam,none,A2,n/a (female),none,5620 calBCE,5336 calBCE,"5620-5336 calBCE (6560±60 BP, LP-186)",6560±60 BP,LP-186,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.02659,v1.010
I0308,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,A2+(64),..,none,5620 calBCE,5336 calBCE,"5620-5336 calBCE (6560±60 BP, LP-186)",6560±60 BP,LP-186,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.53,v1.010
I0309,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,D1,..,none,5881 calBCE,5561 calBCE,"5881-5561 calBCE (6838±73 BP, AA-67738)",6838±73 BP,AA-67738,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.823,v1.010
I2230,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,none,7026 calBCE,6433 calBCE,"7026-6433 calBCE (7805±85 BP, AA-106014)",7805±85 BP,AA-106014,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,1.686,v1.010
I2232,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,none,none,none,-38.3605556,-60.2441667,M,Argentina_ArroyoSeco2_7700BP,none,C1b,..,none,6570 calBCE,6252 calBCE,"6570-6252 calBCE (7612±53 BP, AA-106013)",7612±53 BP,AA-106013,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.027,v1.010
I7086,none,Argentina,South America,Arroyo Seco II,Argentina_ArroyoSeco2_7700BP,none,none,none,-38.3605556,-60.2441667,F,Argentina_ArroyoSeco2_7700BP,none,D1g,n/a (female),none,5971 calBCE,5718 calBCE,"5971-5718 calBCE (6959±43) [R_combine: (7000±80 BP, TO-1503); (6970±60 BP, CAMS-16170); (6880±90 BP, NZA-1101)]",6880±90 BP,NZA-1101,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.100361,v1.010
I12941,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,M,Argentina_BeagleChannel_Yamana_100BP,none,C1b,..,none,1560 calCE,1960 calCE,"1560-1960 calCE (555±20 BP, PSUAMS-6678)",555±20 BP,PSUAMS-6678,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,4.024405,v1.010
I12942,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Acatushún",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.87,-67.33,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),none,1810 calCE,1960 calCE,"1810-1960 calCE (490±25 BP, PSUAMS-6679)",490±25 BP,PSUAMS-6679,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.287915,v1.010
I12943,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Almanza",Argentina_BeagleChannel_Yamana_100BP,Neolithic,none,none,-54.85,-67.57,F,Argentina_BeagleChannel_Yamana_100BP,none,C1b,n/a (female),none,1550 calCE,1960 calCE,"1550-1960 calCE (570±20 BP, PSUAMS-6680)",570±20 BP,PSUAMS-6680,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,3.669419,v1.010
I12355,none,Argentina,South America,"Beagle Channel, Tierra del Fuego, Río Pipo",Argentina_BeagleChannel_Yamana_1500BP,Neolithic,none,none,-54.85,-68.52,M,Argentina_BeagleChannel_Yamana_1500BP,none,C1b,..,none,260 calCE,600 calCE,"260-600 calCE (1975±25 BP, PSUAMS-6673)",1975±25 BP,PSUAMS-6673,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,2.694989,v1.010
I8351,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_1600BP,none,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_1600BP,none,D1g+16189,n/a (female),none,250 calCE,385 calCE,"250-385 calCE (1750±15 BP, UCIAMS-185301)",1750±15 BP,UCIAMS-185301,Nakatsuka Cell 2020,https://doi.org/10.1016/j.cell.2020.04.015,https://www.ebi.ac.uk/ena/browser/view/PRJEB37446,none,none,none,none,1.645301,v1.010
I8348,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,none,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,R,n/a (female),none,5010 calBCE,4840 calBCE,"5010-4840 calBCE (6080±15 BP, UCIAMS-185303)",6080±15 BP,UCIAMS-185303,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.17882,v1.010
I8349,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,none,none,none,-36.0772222,-62.3472222,F,Argentina_LagunaChica_6800BP,none,C1b,n/a (female),none,4830 calBCE,4700 calBCE,"4830-4700 calBCE (5930±15 BP, UCIAMS-185302)",5930±15 BP,UCIAMS-185302,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.775523,v1.010
I8350,none,Argentina,South America,"Pampas, Laguna Chica",Argentina_LagunaChica_6800BP,none,none,none,-36.0772222,-62.3472222,M,Argentina_LagunaChica_6800BP,none,A2,..,none,7000 BCE,4500 BCE,7000-4500 BCE,none,none,Posth Nakatsuka Cell 2018,https://doi.org/10.1016/j.cell.2018.10.027,https://www.ebi.ac.uk/ena/browser/view/PRJEB28961,none,none,none,none,0.059485,v1.010
I12376,none,Argentina,South America,"Southwest of Buenos Aires, Laguna Toro",Argentina_LagunaToro_2400BP,none,none,none,-38.84,-61.42,F,Argentina_LagunaToro_2400BP,none,A2+(64),n/a (female),none,736 calBCE,194 calBCE,"736-194 calBCE (2369±52 BP, UGAMS-16601)",2369±52 BP,UGAMS-16601,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.182844,v1.010
I12356,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,D1,..,none,1450 calCE,1820 calCE,"1450-1820 calCE (650±20 BP, PSUAMS-6674)",650±20 BP,PSUAMS-6674,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,1.220655,v1.010
I12357,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.7,-65.35,F,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,n/a (female),none,1470 calCE,1810 calCE,"1470-1810 calCE (530±45 BP, PSUAMS-6675)",530±45 BP,PSUAMS-6675,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,1.028975,v1.010
I12358,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C,..,none,1330 calCE,1650 calCE,"1330-1650 calCE (820±40 BP, UGAMS-5151)",820±40 BP,UGAMS-5151,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,1.663247,v1.010
I12359,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,C1b,..,none,1280 calCE,1440 calCE,"1280-1440 calCE (870±20 BP, PSUAMS-6683)",870±20 BP,PSUAMS-6683,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.394959,v1.010
I12360,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Caleta Falsa",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.7,-65.35,M,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,..,none,1460 calCE,1640 calCE,"1460-1640 calCE (800±20 BP, PSUAMS-6676)",800±20 BP,PSUAMS-6676,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.104881,v1.010
I12361,none,Argentina,South America,"Tierra del Fuego, Mitre Peninusula, Río Policarpo",Argentina_MitrePeninsula_Haush_400BP,none,none,none,-54.6,-65.58,M,Argentina_MitrePeninsula_Haush_400BP,none,D1g+16189,..,none,1450 calCE,1630 calCE,"1450-1630 calCE (815±20 BP, PSUAMS-6677)",815±20 BP,PSUAMS-6677,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.117069,v1.010
I12362,none,Argentina,South America,"Tierra del Fuego (North), La Arcillosa 2",Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,none,none,none,-53.58,-68.02,F,Argentina_NorthTierradelFuego_LaArcillosa2_5800BP,none,C,n/a (female),none,4040 calBCE,3710 calBCE,"4040-3710 calBCE (5205±58 BP, AA-60935)",5205±58 BP,AA-60935,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,3.619225,v1.010
I12354,none,Argentina,South America,"Tierra del Fuego (North), Río Grande",Argentina_NorthTierradelFuego_Selknam_500BP,none,none,none,-53.78,-67.7,M,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,..,none,1420 calCE,1630 calCE,"1420-1630 calCE (520±30 BP, PSUAMS-6672)",520±30 BP,PSUAMS-6672,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,6.701622,v1.010
I12363,none,Argentina,South America,"Tierra del Fuego (North), Puesto Pescador",Argentina_NorthTierradelFuego_Selknam_500BP,none,none,none,-53.28,-68.47,M,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,..,none,1490 calCE,1660 calCE,"1490-1660 calCE (335±35 BP, AA-69652)",335±35 BP,AA-69652,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,1.21585,v1.010
I12364,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP,none,none,none,-53.82,-67.65,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,D4h3a,n/a (female),none,1040 calCE,1280 calCE,"1040-1280 calCE (897±38 BP, AA-69655)",897±38 BP,AA-69655,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.217564,v1.010
I12366,none,Argentina,South America,"Tierra del Fuego (North), Pozo Tierra del Fuego 1",Argentina_NorthTierradelFuego_Selknam_500BP,none,none,none,-53.66,-67.96,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,D1g+16189,n/a (female),none,1670 calCE,1960 calCE,"1670-1960 calCE (220±20 BP, PSUAMS-6685)",220±20 BP,PSUAMS-6685,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.75698,v1.010
I12367,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP,none,none,none,-53.82,-67.65,F,Argentina_NorthTierradelFuego_Selknam_500BP,none,C1c8,n/a (female),none,1200 calCE,1300 calCE,"1200-1300 calCE (895±25 BP, PSUAMS-6686)",895±25 BP,PSUAMS-6686,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.426958,v1.010
I12365,none,Argentina,South America,"Tierra del Fuego (North), Margen Sur",Argentina_NorthTierradelFuego_Selknam_500BP_brother.I12367,none,none,none,-53.82,-67.65,M,Argentina_NorthTierradelFuego_Selknam_500BP_brother.I12367,none,C1c8,..,none,1150 calCE,1270 calCE,"1150-1270 calCE (960±20 BP, PSUAMS-6684)",960±20 BP,PSUAMS-6684,Nakatsuka Luisi Nature Communications 2020,https://doi.org/10.1038/s41467-020-17656-w,https://www.ebi.ac.uk/ena/browser/view/PRJEB39010,none,none,none,none,0.372559,v1.010
I20439,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,F,Armenia_LBA,none,X2e2a2,n/a (female),none,1012 calBCE,906 calBCE,"1012-906 calBCE (2810±20 BP, PSUAMS-8889)",2810±20 BP,PSUAMS-8889,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,3.576,v1.010
I20440,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,F,Armenia_LBA,none,W6b,n/a (female),none,1263 calBCE,1121 calBCE,"1263-1121 calBCE (2970±20 BP, PSUAMS-9011)",2970±20 BP,PSUAMS-9011,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,0.965,v1.010
I20441,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,M,Armenia_LBA,none,U2+152,..,none,900 calBCE,805 calBCE,"900-805 calBCE (2690±20 BP, PSUAMS-9012)",2690±20 BP,PSUAMS-9012,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,1.609,v1.010
I20443,none,Armenia,Asia,Sarukhan,Armenia_LBA,Bronze Age,none,none,40.29221,45.130679,M,Armenia_LBA,none,H2a,..,none,1013 calBCE,846 calBCE,"1013-846 calBCE (2795±25 BP, PSUAMS-9013)",2795±25 BP,PSUAMS-9013,Lazaridis Alpaslan Roodenberg Science 2022,https://doi.org/10.1126/science.abm4247,https://www.ebi.ac.uk/ena/browser/view/PRJEB54831,none,none,none,none,4.441,v1.010
