"identifier","alternative_identifiers","country","continent","region","culture","epoch","group","comment","latitude","longitude","sex","site","site_detail","mt_hg","ychr_hg","year_from","year_to","date_detail","bp","c14_lab_code","reference_name","reference_link","data_link","c14_sample_tag","c14_layer_tag","ychr_snps","avg_coverage","sequence_source","mitopatho_alleles","mitopatho_positions","mitopatho_locus","mitopatho_diseases","mitopatho_statuses","mitopatho_homoplasms","mitopatho_heteroplasms"
"I2461","Poprad","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.130001068115234,-1.690000057220459,"F","Porton Down, Wiltshire, England","","H5c","",-2500,-2140,"2500-2140 BCE (based on associated dates in same context)","","","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","0","0","",357.8080139160156,"bam","15693C;310C;11467G;499A;12372A;195C;12308G","15693;310;11467;499;12372;195;12308","MT-CYB;MT-CR;MT-ND4;MT-CR;MT-ND5;MT-CR;MT-TL2","Possibly LVNC cardiomyopathy-associated;Possible protective factor for normal tension glaucoma;Altered brain pH / sCJD patients;Endometriosis;Altered brain pH / sCJD patients;BD-associated / melanoma pts;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD","Reported;Reported;Reported;Reported;Reported;Reported;Reported","+;<NA>;+;+;+;+;+","-;<NA>;-;-;-;+;+"
"I8570","Chebotarev V;Sarmatian1","Spain","Europe","Iberia","SE_Iberia_BA","Bronze Age","BAIB","",40.13909912109375,0.10540000349283218,"M","Túmulo Mortorum, Cabanes, Castelló/Castellón, Valencian Community","","J1c3","R1b1a1a2a1a(xR1b1a1a2a1a2a5)",-1800,-1000,"1800–1000 BCE","","","Olalde et al. 2019","https://doi.org/10.1126/science.aav4040","https://www.ebi.ac.uk/ena/browser/view/PRJEB30874","0","0","",31.100000381469727,"bam","15043A;15924G;12705T;9966A;16129A;10398G","15043;15924;12705;9966;16129;10398","MT-CYB;MT-TT;MT-CO1;MT-CO3;MT-CR;MT-ND3","MDD-associated;LIMM;Possible protective factor for normal tension glaucoma;LHON possible helper variant;Cyclic Vomiting Syndrome with Migraine;PD protective factor / longevity / altered cell pH / metabolic syndrome / breast cancer risk / Leigh Syndrome risk / ADHD / cognitive decline / SCA2 age of onset / Fuchs endothelial corneal dystrophy","Reported;Reported;Reported;Reported;Reported;Reported / lineage L & M marker / also hg IJK","+;nr;<NA>;nr;-;+","-;nr;<NA>;nr;+;-"
"I2618","Nesvetay II;Sarmatian9","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",55.05799865722656,-2.1470000743865967,"M","Reaverhill, Barrasford, Northumberland, England","","H1bs","R1b1a1a2a1a",-2134,-1950,"2134-1950 calBCE (3660±28 BP, OxA-26254)","3660±28","OxA-26254","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",706.4630126953125,"bam","","","","","","",""
"I5377","Chebotarev V;Sarmatian7","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",51.471195220947266,-0.2664079964160919,"M","River Thames Skulls, Mortlake, London, England","","T2b","R1b1a1a2a1a2c",-1894,-1694,"1894-1694 calBCE (3485±33 BP, OxA-14731)","3485±33","OxA-14731","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",243.83599853515625,"bam","228A;11467G;12308G;16183C;12372A","228;11467;12308;16183;12372","MT-CR;MT-ND4;MT-TL2;MT-CR;MT-ND5","Low VO2max response;Altered brain pH / sCJD patients;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Melanoma patients;Altered brain pH / sCJD patients","Reported;Reported;Reported;Reported;Reported","+;+;+;nr;+","-;-;+;+;-"
"I7639","Nesvetay II;Sarmatian3","Great Britain","Europe","British Isles","England_CA_EBA","Bronze Age","BABI","",52.276939392089844,0.461901992559433,"F","Waterhall Farm, Chippenham, Cambridgeshire, England","","U5a1","",-2031,-1665,"2031-1665 calBCE (3520±70 BP, HAR-3880)","3520±70","HAR-3880","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",1.5597200393676758,"bam","8414T;12705T","8414;12705","MT-ATP8;MT-CO1","Increased risk of T2DM and high altitude polycythemia (HAPC) in haplogroup D4 / Longevity;Possible protective factor for normal tension glaucoma","Reported;Reported","+;<NA>","-;<NA>"
"I5383","Nesvetay IV;Sarmatian5","Great Britain","Europe","British Isles","England_LBA","Bronze Age","BABI","",54.15510559082031,-2.4720489978790283,"F","Raven Scar Cave, Ingleton, North Yorkshire, England","","J1c5f","",-1090,-900,"1090-900 BCE","","","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","0","0","",137.66900634765625,"bam","12308G;11467G;12372A;663G;195C;15693C;499A","12308;11467;12372;663;195;15693;499","MT-TL2;MT-ND4;MT-ND5;MT-RNR1;MT-CR;MT-CYB;MT-CR","CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Altered brain pH / sCJD patients;Altered brain pH / sCJD patients;Coronary atherosclerosis risk;BD-associated / melanoma pts;Possibly LVNC cardiomyopathy-associated;Endometriosis","Reported;Reported;Reported;Reported;Reported;Reported;Reported","+;+;+;+;+;+;+","+;-;-;-;+;-;-"
"I2639","Chebotarev V;Sarmatian6","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",51.15999984741211,-1.7699999809265137,"F","Amesbury Down, Wiltshire, England","","T2e1a","",-1600,-1430,"1600-1430 calBCE (3225±25 BP, NZA-32497)","3225±25","NZA-32497","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",1051.4000244140625,"bam","16192T","16192","MT-CR","Melanoma patients","Reported","nr","nr"
"DA134","Kamyshevahsky X;Sarmatian4","Russia","Europe","Pontic steppe","Sarmatian","Iron Age","IAST","",47.29344940185547,39.54597854614258,"M","Sarmatian1, Chebotarev V","","I1","",0,100,"0-100 CE","","","de Barros Damgaard et al. 2018","https://doi.org/10.1038/s41586-018-0094-2","https://www.ebi.ac.uk/ena/data/view/PRJEB20658","0","1","",66.875,"bam","15043A;12308G","15043;12308","MT-CYB;MT-TL2","MDD-associated;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD","Reported;Reported","+;+","-;+"
"I7570","Alan1","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.6963005065918,-0.3400000035762787,"M","Baston and Langtoft, South Lincolnshire, England","","T2b4+152","R1b1a1a2a1a2(xR1b1a1a2a1a2c)",-1735,-1531,"1735-1531 calBCE (3347±30 BP, SUERC-74471)","3347±30","SUERC-74471","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",88.74400329589844,"bam","195C;16217C","195;16217","MT-CR;MT-CR","BD-associated / melanoma pts;Endometriosis","Reported;Reported","+;+","+;-"
"I8571","Alan3","Spain","Europe","Iberia","SE_Iberia_BA","Bronze Age","BAIB","",40.13909912109375,0.10540000349283218,"M","Túmulo Mortorum, Cabanes, Castelló/Castellón, Valencian Community","","K1a2c","CT",-1800,-1000,"1800–1000 BCE","","","Olalde et al. 2019","https://doi.org/10.1126/science.aav4040","https://www.ebi.ac.uk/ena/browser/view/PRJEB30874","0","0","",48.5,"bam","16183C;12308G;15693C;195C;12372A;499A;11467G;16189C;310C;14577C","16183;12308;15693;195;12372;499;11467;16189;310;14577","MT-CR;MT-TL2;MT-CYB;MT-CR;MT-ND5;MT-CR;MT-ND4;MT-CR;MT-CR;MT-ND6","Melanoma patients;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Possibly LVNC cardiomyopathy-associated;BD-associated / melanoma pts;Altered brain pH / sCJD patients;Endometriosis;Altered brain pH / sCJD patients;Diabetes / Cardiomyopathy /cancer risk / mtDNA copy nbr / Metabolic Syndrome / Melanoma patients;Possible protective factor for normal tension glaucoma;MIDM","Reported;Reported;Reported;Reported;Reported;Reported;Reported;Reported;Reported;Reported","nr;+;+;+;+;+;+;+;<NA>;-","+;+;-;+;-;-;-;-;<NA>;+"
"I7575","Alan4","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"M","Biddenham Loop, Bedfordshire, England","","U5a1d1","R1b1a1a2a1a2c",-1263,-1043,"1263-1043 calBCE (2950±35 BP, SUERC-25498)","2950±35","SUERC-25498","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",163.3090057373047,"bam","12705T;195C;146C;16189C","12705;195;146;16189","MT-CO1;MT-CR;MT-CR;MT-CR","Possible protective factor for normal tension glaucoma;BD-associated / melanoma pts;Absence of Endometriosis;Diabetes / Cardiomyopathy /cancer risk / mtDNA copy nbr / Metabolic Syndrome / Melanoma patients","Reported;Reported;Reported;Reported","<NA>;+;+;+","<NA>;+;-;-"
"I7577","Alan5","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"M","Biddenham Loop, Bedfordshire, England","","U5a1a1","R1b1a1a2a1a2c1",-1386,-1123,"1386-1123 calBCE (3005±35 BP, SUERC-25499)","3005±35","SUERC-25499","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",146.1479949951172,"bam","","","","","","",""
"I7580","Alan7","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"F","Biddenham Loop, Bedfordshire, England","","U5b2a1a","",-1256,-1018,"1256-1018 calBCE (2935±35 BP, SUERC-25537)","2935±35","SUERC-25537","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",217.86000061035156,"bam","5549A;310C","5549;310","MT-TW;MT-CR","DEMCHO;Possible protective factor for normal tension glaucoma","Reported;Reported","-;<NA>","+;<NA>"
"DA136","Berciunai2","Russia","Europe","Pontic steppe","Sarmatian","Iron Age","IAST","",47.2842903137207,39.5333137512207,"M","Sarmatian9, Nesvetay II","","A+152+16362","R",0,100,"0-100 CE","","","de Barros Damgaard et al. 2018","https://doi.org/10.1038/s41586-018-0094-2","https://www.ebi.ac.uk/ena/data/view/PRJEB20658","0","1","",64.2760009765625,"<NA>","16176T;16093C","16176;16093","MT-CR;MT-CR","Cyclic Vomiting Syndrome with Migraine;Cyclic Vomiting Syndrome","Reported;Reported","-;-","+;+"
"RISE577","Tiszaszolos- Czalanyszeg 4 19 3123","Czech Republic","Europe","central Europe","Únětice","Bronze Age","UNC","Starounetice",50.15999984741211,14.3100004196167,"F","Velké Přílepy","","T2b","",-2300,-1800,"2300-1800 BCE","","","Allentoft et al. 2015","https://dx.doi.org/10.1038/nature14507","https://www.ebi.ac.uk/ena/data/view/PRJEB9021","0","0","",0.0,"bam","","","","","","",""
"I7626","Sandorfalva ‚Äì Eperjes 11 118 9423","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"F","Biddenham Loop, Bedfordshire, England","","T2b","",-1395,-1130,"1395-1130 calBCE (3025±35 BP, SUERC-25533)","3025±35","SUERC-25533","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",165.26699829101562,"bam","12705T;16129A;10398G;310C;15924G;15043A","12705;16129;10398;310;15924;15043","MT-CO1;MT-CR;MT-ND3;MT-CR;MT-TT;MT-CYB","Possible protective factor for normal tension glaucoma;Cyclic Vomiting Syndrome with Migraine;PD protective factor / longevity / altered cell pH / metabolic syndrome / breast cancer risk / Leigh Syndrome risk / ADHD / cognitive decline / SCA2 age of onset / Fuchs endothelial corneal dystrophy;Possible protective factor for normal tension glaucoma;LIMM;MDD-associated","Reported;Reported;Reported / lineage L & M marker / also hg IJK;Reported;Reported;Reported","<NA>;-;+;<NA>;nr;+","<NA>;+;-;<NA>;nr;-"
"RISE349","Sandorfalva ‚Äì Eperjes 10 125 9430","Hungary","Europe","Pannonia","MBA","Bronze Age","BAHu","",46.36000061035156,20.989999771118164,"F","Battonya Vörös Oktober","","T2b3","",-2034,-1784,"2034-1784 calBCE (3588±34 BP, OxA-30987)","3588±34","OxA-30987","Allentoft et al. 2015","https://dx.doi.org/10.1038/nature14507","https://www.ebi.ac.uk/ena/data/view/PRJEB9021","1","0","",0.0,"bam","310C","310","MT-CR","Possible protective factor for normal tension glaucoma","Reported","<NA>","<NA>"
"I7627","Sandorfalva ‚Äì Eperjes 8 168 9466","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"F","Biddenham Loop, Bedfordshire, England","","U4a2","",-1410,-1222,"1410-1222 calBCE (3055±35 BP, SUERC-25538)","3055±35","SUERC-25538","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",226.0279998779297,"bam","12308G;12372A;11467G;16192T;4440A;16270T","12308;12372;11467;16192;4440;16270","MT-TL2;MT-ND5;MT-ND4;MT-CR;MT-TM;MT-CR","CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Altered brain pH / sCJD patients;Altered brain pH / sCJD patients;Melanoma patients;Mitochondrial myopathy;Melanoma patients","Reported;Reported;Reported;Reported;Reported;Reported","+;+;+;nr;-;nr","+;-;-;nr;+;nr"
"I7628","Sandorfalva ‚Äì Eperjes 2 143 9447","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.12240219116211,-0.5113649964332581,"M","Biddenham Loop, Bedfordshire, England","","T1a1","R1b1a1a2a1a2c",-1208,-978,"1208-978 calBCE (2895±35 BP, SUERC-25541)","2895±35","SUERC-25541","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",26.042200088500977,"bam","310C","310","MT-CR","Possible protective factor for normal tension glaucoma","Reported","<NA>","<NA>"
"I7579","Alan 51","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","1st degree relative of I7580",52.12240219116211,-0.5113649964332581,"F","Biddenham Loop, Bedfordshire, England","","U5b2a1a","",-1496,-1300,"1496-1300 calBCE (3135±35 BP, SUERC-25532)","3135±35","SUERC-25532","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",182.54100036621094,"bam","5460A;4454C;195C;146C;12705T;310C","5460;4454;195;146;12705;310","MT-ND2;MT-TM;MT-CR;MT-CR;MT-CO1;MT-CR","AD / PD / LHON;Possible contributor to mito dysfunction / hypertension;BD-associated / melanoma pts;Absence of Endometriosis;Possible protective factor for normal tension glaucoma;Possible protective factor for normal tension glaucoma","Conflicting reports;Reported;Reported;Reported;Reported;Reported","+;+;+;+;<NA>;<NA>","+;-;+;-;<NA>;<NA>"
"I12208","Lchascehn t 199_16","Spain","Europe","Iberia","Cogotas I","Bronze Age","BAIB","C_Iberia_BA",41.45840072631836,-5.287199974060059,"F","La Requejada, San Román de Hornija, Valladolid, Castilla y León","","K1a1b1","",-1368,-1211,"1368–1211 BCE","","","Olalde et al. 2019","https://doi.org/10.1126/science.aav4040","https://www.ebi.ac.uk/ena/browser/view/PRJEB30874","0","0","",389.3999938964844,"bam","295T","295","MT-CR","Low VO2max response","Reported","+","-"
"I3082","Lchascehn t 211_46","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",50.91920471191406,-2.0154409408569336,"M","Canada Farm, Sixpenny Handley, Dorset, England","","H1an1a","R1b1a1a2a1a2c",-1498,-1394,"1498-1394 calBCE (3157±25 BP, NZA-34643)","3157±25","NZA-34643","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",199.90699768066406,"bam","16129A;2158C;146C;489C;13708A;5460A;10398G","16129;2158;146;489;13708;5460;10398","MT-CR;MT-RNR2;MT-CR;MT-CR;MT-ND5;MT-ND2;MT-ND3","Cyclic Vomiting Syndrome with Migraine;Reduced risk PD;Absence of Endometriosis;Low VO2max response;LHON / Increased MS risk / higher freq in PD-ADS;AD / PD / LHON;PD protective factor / longevity / altered cell pH / metabolic syndrome / breast cancer risk / Leigh Syndrome risk / ADHD / cognitive decline / SCA2 age of onset / Fuchs endothelial corneal dystrophy","Reported;Reported;Reported;Reported;Conflicting reports;Conflicting reports;Reported / lineage L & M marker / also hg IJK","-;nr;+;+;+;+;+","+;nr;-;-;+;+;-"
"DA141","","Russia","Europe","Pontic steppe","Sarmatian","Iron Age","IAST","",47.2842903137207,39.5333137512207,"M","Sarmatian3, Nesvetay II","","A+152+16362","",0,100,"0-100 CE","","","de Barros Damgaard et al. 2018","https://doi.org/10.1038/s41586-018-0094-2","https://www.ebi.ac.uk/ena/data/view/PRJEB20658","0","1","",65.39900207519531,"bam","","","","","","",""
"I7574","167","Great Britain","Europe","British Isles","England_MBA","Bronze Age","BABI","",52.17839050292969,0.12254399806261063,"F","Clay Farm, Cambridgeshire, England","","H1a3","",-1406,-1230,"1406-1230 calBCE (3055±30 BP, SUERC-38250)","3055±30","SUERC-38250","Olalde et al. 2018","https://dx.doi.org/10.1038/nature25738","http://www.ebi.ac.uk/ena/data/view/PRJEB23635","1","0","",203.88499450683594,"bam","13637G;12308G;150T;12372A;2755G;11467G;12634G;16270T","13637;12308;150;12372;2755;11467;12634;16270","MT-ND5;MT-TL2;MT-CR;MT-ND5;MT-RNR2;MT-ND4;MT-ND5;MT-CR","Possible LHON factor;CPEO / Stroke / CM / Breast & Renal & Prostate Cancer Risk / Altered brain pH /sCJD;Longevity / Cervical Carcinoma / HPV infection risk;Altered brain pH / sCJD patients;Possibly LVNC-associated;Altered brain pH / sCJD patients;Thyroid Cancer Cell Line;Melanoma patients","Reported;Reported;Conflicting reports;Reported;Reported;Reported;Reported;Reported","+;+;+;+;+;+;+;nr","-;+;+;-;-;-;+;nr"
"RISE374","168","Hungary","Europe","Pannonia","Maros","Bronze Age","BAHu","",46.220001220703125,20.200000762939453,"M","Szöreg, Sziv Utca","","T2b","G2a2a1a2a",-1866,-1619,"1866-1619 calBCE (3402±34 BP, OxA-30989)","3402±34","OxA-30989","Allentoft et al. 2015","https://dx.doi.org/10.1038/nature14507","https://www.ebi.ac.uk/ena/data/view/PRJEB9021","1","0","",0.0,"bam","3010A","3010","MT-RNR2","Cyclic Vomiting Syndrome with Migraine / high altitude disease risk factor","Reported","+","-"
